id,datetime,user,size,change,note
996830291,2020-12-28 20:39:00,Ivanvector,488865,+379,"Reverted 1 edit by Alvin Seville (talk): Per the DO NOT CHANGE edit note. Respond to the questions as to what you're up to on your talk page, User:Alvin Seville."
996829356,2020-12-28 20:33:00,Alvin Seville,488486,−379,adding and removing spaces
996812800,2020-12-28 19:02:00,Politicsfan4,488865,+77,→‎General election campaign:  added link to main article
996812703,2020-12-28 19:02:00,DeathTrain,488788,−48,→‎Economy and trade:  Wrong source.
996812379,2020-12-28 19:00:00,Politicsfan4,488836,+100,→‎Political activities up to 2015:  specified party affiliation
996811946,2020-12-28 18:58:00,Politicsfan4,488736,−1,→‎Economy and trade:  spacing
996808821,2020-12-28 18:40:00,DeathTrain,488737,,→‎Economy and trade:  Added USMCA
996776580,2020-12-28 15:33:00,Cilidus,487992,,rv vandalism
996773389,2020-12-28 15:09:00,Alvin Seville,486955,−84,adding and removing spaces
996773173,2020-12-28 15:08:00,Alvin Seville,487039,−131,Oldest backlogs by issue→updating
996773073,2020-12-28 15:07:00,Alvin Seville,487170,,removing and categorizing
996702308,2020-12-28 04:30:00,Politicsfan4,487992,+1,fix
996702261,2020-12-28 04:30:00,Politicsfan4,487991,−1,"better link, to match current consensus item 23"
996702159,2020-12-28 04:29:00,Politicsfan4,487992,0,"Undid revision 996702077 by Politicsfan4 (talk) whoops, just saw that it violated Talk:Donald Trump#Current consensus item 23"
996702077,2020-12-28 04:28:00,Politicsfan4,487992,0,better link placement
996693769,2020-12-28 03:26:00,Denniscabrams,487992,+69,→‎External links
996677486,2020-12-28 01:19:00,WikiCleanerBot,487923,0,v2.04b - Bot T20 CW#61 - Fix errors for CW project (Reference before punctuation)
996627094,2020-12-27 19:09:00,Czello,487923,+37,Correct link
996604907,2020-12-27 16:31:00,Raphael.concorde,487886,+4,link
996478192,2020-12-26 21:11:00,Politicsfan4,487882,+2,Undid revision 996454523 by Space4Time3Continuum2x (talk) do not include state affiliates of political parties - use the national version
996477549,2020-12-26 21:07:00,Mandruss,487880,+11,→‎Approval ratings:  cite cleanup
996476036,2020-12-26 20:56:00,Mandruss,487869,+62,→‎Family separation at border:  cite cleanup
996465717,2020-12-26 19:46:00,Space4Time3Continuum2x,487807,−290,→‎2000 presidential campaign
996465335,2020-12-26 19:43:00,Space4Time3Continuum2x,488097,+317,→‎2000 presidential campaign:  He ran in at least two primaries before terminating the effort in February 2000.
996456871,2020-12-26 18:50:00,Space4Time3Continuum2x,487780,+215,"→‎Political activities up to 2015:  Add source for ""New York's version of Reform Party"""
996454523,2020-12-26 18:36:00,Space4Time3Continuum2x,487565,−2,Per the cite in https://en.wikipedia.org/wiki/Donald_Trump#Political_activities_up_to_2015.
996453669,2020-12-26 18:30:00,Space4Time3Continuum2x,487567,+35,→‎Political activities up to 2015:  Add link
996452840,2020-12-26 18:24:00,Space4Time3Continuum2x,487532,+11,→‎Political activities up to 2015:  Per the source. We missed a couple of switches.
996448243,2020-12-26 17:52:00,Space4Time3Continuum2x,487521,−7,"→‎Film and television:  The cite says it’s the show’s catchphrase. Trump unsuccessfully tried to trademark it (https://www.cobizmag.com/who-owns-the-trademark-to-youre-fired/), and the WWE's McMahon had been using it since at least 1998 (http://www.accelerator3359.com/Wrestling/tv/ark1/wwe/judgment/98.html, https://www.youtube.com/watch?v=FfpV5JVv9AY)"
996433226,2020-12-26 16:04:00,Space4Time3Continuum2x,487528,+16,"→‎Film and television:  Past tense and dates, chronology"
996416292,2020-12-26 13:42:00,Nick.mon,487512,+5,→‎Iran
996416226,2020-12-26 13:41:00,Nick.mon,487507,+5,→‎North Korea
996416128,2020-12-26 13:40:00,Nick.mon,487502,+5,→‎2018–2019 federal government shutdown
996415860,2020-12-26 13:38:00,Nick.mon,487497,+23,→‎Foreign policy
996342400,2020-12-26 01:06:00,Mandruss,487474,+34,→‎Film and television:  cite cleanup ;; MOS:LQ 1x
996335527,2020-12-26 00:07:00,Onetwothreeip,487440,−244,→‎Media career:  minor refactoring
996303338,2020-12-25 19:30:00,Mandruss,487684,−131,Undid revision 996265282 by Politicsfan4 (talk) - rv per MOS:LEAD ;; not mentioned below the lead
996265282,2020-12-25 14:24:00,Politicsfan4,487815,+131,added when he will leave office in the lead section
996225339,2020-12-25 07:41:00,Onetwothreeip,487684,,"→‎Family separation at border:  Trimming, summarising. Only one count, the most recent, of children separated is needed here."
996203162,2020-12-25 03:22:00,Mandruss,489805,+217,"Undid revision 996197172 by Boneyard90 (talk) - brief mentions of birth, childhood, and education are hardly excessive detail for the lead of a biography. Nothing is more biographical than that."
996197172,2020-12-25 02:25:00,Boneyard90,489588,−217,Removed excessive detail in lede.
996188000,2020-12-25 01:15:00,Politicsfan4,489805,+5,minor spacing
996148959,2020-12-24 20:41:00,Onetwothreeip,489800,,→‎Travel ban:  Trimming
996147444,2020-12-24 20:32:00,Onetwothreeip,491927,,Undid revision 996099150 by Kieran207 (talk) Not notable enough for this article
996130386,2020-12-24 18:33:00,Nick.mon,492617,+5,→‎2020 presidential election
996129743,2020-12-24 18:28:00,Nick.mon,492612,+109,→‎2020 presidential election
996123432,2020-12-24 17:39:00,Locomotive207,492503,−8,"→‎Trump, the COVID-19 pandemic, and the 2020 presidential campaign:   Header fix"
996101972,2020-12-24 15:11:00,Starship.paint,492511,,international approval rating. a stated percentage.
996100082,2020-12-24 14:56:00,Mandruss,491885,−11,"Undid revision 996096254 by GoodDay (talk) - rv per Talk:Donald Trump#Current consensus, item 17. What we have at Mike Pence does not override that consensus here."
996099150,2020-12-24 14:49:00,Locomotive207,491896,,→‎WWF/WWE:   Added in the Wrestlemainia 23 match
996096254,2020-12-24 14:26:00,GoodDay,491206,+11,Not sure why this was deleted. We have it at Mike Pence.
996081495,2020-12-24 12:24:00,Mandruss,491195,−29,Undid revision 995956113 by Politicsfan4 (talk) - no such new consensus exists
996068075,2020-12-24 10:10:00,Slatersteven,491224,,Undid revision 996065137 by Chaheel Riens (talk)make a case at talk.
996065137,2020-12-24 09:44:00,Chaheel Riens,492130,,"Undid revision 996058962 by Jack Upland (talk) Given that no such article seems to exist, the notability of those making the claim - a psychologist and former lawyer - and the reliable sources, this seems a reasonable inclusion."
996058962,2020-12-24 08:44:00,Jack Upland,491224,,Undid revision 996040124 by Starship.paint (talk) This is just one theory by some people about Trump's innermost thoughts - take it to the Mind of Trump article
996040124,2020-12-24 05:28:00,Starship.paint,492130,,opinion on believing his own falsehoods
996022092,2020-12-24 02:42:00,Starship.paint,491224,+9,who were
996021951,2020-12-24 02:41:00,Starship.paint,491215,+84,pardons regarding russia
996021726,2020-12-24 02:40:00,Starship.paint,491131,+4,ref
996021620,2020-12-24 02:39:00,Starship.paint,491127,+213,"stone, manafort"
996020742,2020-12-24 02:33:00,Starship.paint,490914,+20,five
996020563,2020-12-24 02:31:00,Starship.paint,490894,,summary of pardons
996019343,2020-12-24 02:23:00,Locomotive207,490142,+9,Fixed hole
996018878,2020-12-24 02:19:00,Politicsfan4,490133,+3,→‎2012 presidential speculation:  ce
996018826,2020-12-24 02:18:00,Politicsfan4,490130,+237,→‎2012 presidential speculation:  added his endorsement of Romney in the 2012 election.
995977422,2020-12-23 21:52:00,Onetwothreeip,489893,,→‎Racial views:  overciting
995976987,2020-12-23 21:49:00,Onetwothreeip,491100,,→‎Promotion of conspiracy theories:  overciting
995962705,2020-12-23 20:20:00,Handoto,491758,+2,Per item 18.
995956113,2020-12-23 19:37:00,Politicsfan4,491756,+29,"changed birth place as per consensus on Talk:Donald Trump#Birthplace and education in infobox. Also, the parameter rules on Template:Infobox person state to not include unnecessary details, of which the specific borough (Queens) is."
995949864,2020-12-23 19:01:00,Politicsfan4,491727,+39,
995936521,2020-12-23 17:44:00,Mandruss,491688,+40,cite cleanup
995935698,2020-12-23 17:39:00,Mandruss,491648,+344,rescue ref
995933034,2020-12-23 17:23:00,Davey2116,491304,,"→‎Health:  Undid revision 995473351, see current consensus, line 40"
995843803,2020-12-23 05:03:00,Politicsfan4,490394,+111,"updated residence in infobox, add after Jan. 2021"
995834647,2020-12-23 03:39:00,Starship.paint,490283,,war crimes-related pardons
995831507,2020-12-23 03:13:00,Starship.paint,489694,−82,"In July 2020, Trump commuted the 40-month sentence for his friend and adviser Roger Stone, who had been soon due to report to prison for witness tampering, lying to Congress, and obstructing congressional investigations"
995830337,2020-12-23 03:02:00,Starship.paint,489776,+286,pardons related to investigations into russian interference
995823604,2020-12-23 02:08:00,Politicsfan4,489490,−2,American English
995819937,2020-12-23 01:42:00,SPECIFICO,489492,−57,Undid revision 995812273 by Ceedub88 (talk) Removing unsourced content
995812273,2020-12-23 00:50:00,Ceedub88,489549,+57,
995808868,2020-12-23 00:28:00,Ainlina,489492,+25,Reverted to revision 995808096 by Politicsfan4 (talk): Restore diploma as per talk page consensus
995808320,2020-12-23 00:24:00,Politicsfan4,489467,−25,"American English, also do not include specific degree"
995808096,2020-12-23 00:23:00,Politicsfan4,489492,−27,minor cleanup
995799797,2020-12-22 23:27:00,Thanoscar21,489519,−10,Drug epidemic doesn't deserve to be its own subsection on par with impeachment and all
995697063,2020-12-22 11:53:00,Starship.paint,489529,+397,personal attempts to overturn the election was more expansive than previously reported
995675442,2020-12-22 07:52:00,Onetwothreeip,489132,,→‎False statements:  More overciting
995606204,2020-12-21 23:32:00,Onetwothreeip,493393,,→‎2020 presidential election:  Overciting
995565763,2020-12-21 19:16:00,Songwaters,494912,−1,→‎Presidency (2017–present)
995547804,2020-12-21 17:19:00,Mandruss,494913,+27,cite cleanup
995544225,2020-12-21 16:56:00,AleatoryPonderings,494886,+21,→‎Atlantic City casinos:  ce
995525050,2020-12-21 14:44:00,Starship.paint,494865,+63,"Relation to Russia, two pleas"
995509546,2020-12-21 12:36:00,Mandruss,494802,−11,→‎Russia:  cite cleanup
995491321,2020-12-21 09:10:00,Starship.paint,494813,,"Trump has also supported a potential return of Russia to the G7, and has not confronted Russia over an alleged Russian bounty program against American soldiers in Afghanistan."
995473796,2020-12-21 05:53:00,Onetwothreeip,494272,,→‎Real estate:  Not relevant enough for this biographical article about a US president.
995473351,2020-12-21 05:48:00,Onetwothreeip,495687,,→‎Health:  Some of this stuff is clearly not notable at all.
995452415,2020-12-21 03:05:00,TheSouthernIrishman,496597,+64,→‎External links
995451682,2020-12-21 02:59:00,MrCheese76,496533,+16,→‎Election to the presidency
995440504,2020-12-21 01:38:00,Davemck,496517,−26,Clean up duplicate template arguments using findargdups
995433494,2020-12-21 00:45:00,Bdushaw,496543,,"Undid revision 995427967 by SPECIFICO (talk) somewhat unsure of what is happening, but reverting to what seems a better version by request"
995427967,2020-12-21 00:04:00,SPECIFICO,495664,,Undid revision 995410836 by Onetwothreeip (talk) undoing my 4th rr error.. Somebody else please revert this reinstatement and get the consensus text back pending discussion.
995418717,2020-12-20 22:58:00,Onetwothreeip,496543,,→‎Immigration:  Trimming
995415074,2020-12-20 22:31:00,Onetwothreeip,498064,,→‎Social issues:  Trimming
995413298,2020-12-20 22:19:00,Onetwothreeip,499724,,→‎Health care:  Trimming unnecessary sources
995412021,2020-12-20 22:10:00,Onetwothreeip,501167,−453,→‎Energy and climate:  Trivial
995410836,2020-12-20 22:02:00,Onetwothreeip,501620,,Reverted to revision 995408486 by SPECIFICO (talk): Somehow the same edit went through twice.
995408928,2020-12-20 21:51:00,Onetwothreeip,500741,,"→‎Economy and trade:  Rewording, trimming"
995408486,2020-12-20 21:48:00,SPECIFICO,501620,,"Undid revision 995407451 by Onetwothreeip (talk) Not an improvement, and much of what was removed had achieved explicit consensus on talk after prior discussion or revert and reinstatement"
995407451,2020-12-20 21:41:00,Onetwothreeip,500741,,"→‎Economy and trade:  Rewording, trimming"
995407274,2020-12-20 21:40:00,SPECIFICO,501620,,"Undid revision 995405862 by Onetwothreeip (talk)restore DUE content, clarifying significance per source."
995406026,2020-12-20 21:32:00,MelanieN,500180,+12,"→‎2020 presidential election:  three weeks, not two. Somebody can't count."
995405862,2020-12-20 21:31:00,Onetwothreeip,500168,,→‎Early actions:  Belongs in personal life sections or articles
995403177,2020-12-20 21:14:00,Onetwothreeip,501522,,→‎2020 presidential election:  This is pretty tenuously supported by the sources and doesn't hold up to our standards.
995391974,2020-12-20 20:01:00,Neutrality,502417,−410,→‎2020 presidential election:   even simpler
995391344,2020-12-20 19:57:00,Neutrality,502827,−30,"→‎2020 presidential election:    try to condense this a bit; given that results have been certified, I don't think we need ""On December 5"" anymore"
995390648,2020-12-20 19:52:00,Neutrality,502857,,→‎2020 presidential election:   add/updated source
995388311,2020-12-20 19:36:00,JHunterJ,502274,+6,"clean up, typo(s) fixed: opiod → opioid, replaced: 0 billion → 0 billion"
995360084,2020-12-20 16:47:00,Bdushaw,502268,0,→‎2020 presidential election:  ??? fix caption electoral college numbers to align with citation
995359072,2020-12-20 16:41:00,Bdushaw,502268,+54,→‎2020 presidential election:  ce's - fix a run on sentence
995349891,2020-12-20 15:36:00,SPECIFICO,502214,,Undid revision 993941808 by Mandruss (talk) Partial restore of DUE content
995348927,2020-12-20 15:29:00,SPECIFICO,501591,,"Undid revision 995286723 by Jack Upland (talk) Restore text. Not necessarily unnecessary. Depends on larger context and narrative of Trump, which continues to shift in 2020"
995340987,2020-12-20 14:29:00,Starship.paint,499666,+28,Score
995286723,2020-12-20 05:38:00,Jack Upland,499638,,→‎2012 presidential speculation:  Removing unnecessary detail
995269498,2020-12-20 02:49:00,AleatoryPonderings,501563,+4,→‎Personnel:  past year -> previous year
995221356,2020-12-19 21:48:00,Mandruss,501559,+5,convert cite news to cite tweet
995183131,2020-12-19 18:03:00,Mandruss,501554,−267,"→‎Works cited:  User:AleatoryPonderings - feel free to revert. The hidden comment says: ""This section is ONLY for books that are cited in footnotes of this Wikipedia article."" The article cites one Barrett, and his first name is Devlin, not Wayne. If we want to include ""further reading"", we should do so in a ""Further reading"" section."
995152497,2020-12-19 14:50:00,AleatoryPonderings,501821,−71,"→‎Works cited:  feel free to revert, but the original edition is on the Internet Archive so I thought I'd add"
995119302,2020-12-19 09:34:00,Jack Upland,501892,−10,→‎Conflicts of interest:  Tense
995119193,2020-12-19 09:33:00,Jack Upland,501902,+10,→‎Conflicts of interest:  Tense
994970094,2020-12-18 14:21:00,Handoto,501892,+2,Formatting per Talk:Donald Trump#Current consensus; item 18
994864784,2020-12-17 22:59:00,Thanoscar21,501890,−16,"Replaced ""w/out any sources"" with ""baselessly"""
994863785,2020-12-17 22:52:00,Sdkb,501906,+1,→‎top:  oxford commas seem to be standard for this page
994861451,2020-12-17 22:37:00,Space4Time3Continuum2x,501905,+19,"His current residences (until noon, January 20, 2020) are the WH and Mar-a-Lago. The Residences article is a list of real estate Trump owns."
994845776,2020-12-17 20:54:00,Rosguill,501886,−142,"amending lead per discussion closure, now Current consensus item 49"
994841343,2020-12-17 20:27:00,Pennsylvania2,502028,+8,→‎Israel:  Trump most but not ALL. State Department told Israel to slow down plans to annex the West Bank
994805162,2020-12-17 17:01:00,Handoto,502020,−19,
994798321,2020-12-17 16:14:00,AleatoryPonderings,502039,−20,→‎Wealth:  presumably his wealth is denominated in dollars
994797993,2020-12-17 16:11:00,AleatoryPonderings,502059,−192,"→‎WWF/WWE:  ""most notably"" according to whom?"
994767075,2020-12-17 12:38:00,Czello,502251,+86,Get consensus on talk page first please
994763079,2020-12-17 12:01:00,Dcfc1988,502165,−86,"Biden now elected by Electoral College. Others leaving office in Jan 2021 have the same, e.g. Tom Udall, Pat Roberts, Gil Cisneros, Rob Bishop"
994747477,2020-12-17 09:47:00,Mandruss,502251,−174,"partial rv per Talk:Donald Trump#Current consensus, item 25"
994728955,2020-12-17 06:53:00,AleatoryPonderings,502425,+105,rm broken doi; add archive url
994728248,2020-12-17 06:45:00,AleatoryPonderings,502320,−18,"fix (Federal Election Commission, not ""elections""; ce"
994727656,2020-12-17 06:39:00,AleatoryPonderings,502338,−8,→‎Controversy over face masks as strategy for pandemic mitigation:  ce - I think this is a fair rephrasing?
994549393,2020-12-16 08:16:00,Mandruss,502346,+1,→‎Judiciary:  ce
994540797,2020-12-16 06:46:00,Mandruss,502345,−7,→‎2020 presidential election:  ce
994533828,2020-12-16 05:49:00,Mandruss,502352,+32,→‎2020 presidential election:  move EC link
994533319,2020-12-16 05:44:00,Mandruss,502320,0,"→‎2020 presidential election:  lengthen linktext, making it more visible while making an MOS:EGG improvement"
994531177,2020-12-16 05:22:00,Mandruss,502320,−9,→‎2020 presidential election:  Unites States Supreme Court -> U.S. Supreme Court.
994530400,2020-12-16 05:15:00,Mandruss,502329,0,Moving 2020 electoral vote map down one paragraph to get it closer to the related prose. Encroachment there is barely noticeable on my computer and even that will be eliminated when more is added at the bottom of the section.
994512396,2020-12-16 02:45:00,Mandruss,502329,+26,→‎2020 presidential election:  cite cleanup
994473871,2020-12-15 22:14:00,Citation bot,502303,+1,Alter: doi-broken-date. | You can use this bot yourself. Report bugs here. | Suggested by Abductive | Category:Wikipedia articles with NLR identifiers | via #UCB_Category 27/135
994426930,2020-12-15 17:42:00,Mandruss,502302,+93,"→‎2020 presidential election:  article shows an electoral vote map for 2016, so it should do the same for 2020"
994424656,2020-12-15 17:28:00,Mandruss,502209,0,capitalize Electoral College per title of United States Electoral College
994424195,2020-12-15 17:25:00,Mandruss,502209,+436,→‎2020 presidential election:  +electoral college vote
994393867,2020-12-15 14:10:00,Khajidha,501773,−22,WrestleMania 23 is not annual. WrestleMania is annual. Wording was rather florid.
994390030,2020-12-15 13:39:00,Starship.paint,501795,,aiming to replace the states' presidential electors.
994314704,2020-12-15 02:11:00,Mandruss,501175,−16,"→‎top:  1. Unnecessary in the infobox, particularly given the wikilink. 2. Violates MOS:POSTABBR as written."
994314418,2020-12-15 02:09:00,SpringProof,501191,+13,Cleaned up using AutoEd
994284949,2020-12-14 23:05:00,GoodDay,501178,−45,We don't do that.
994279526,2020-12-14 22:35:00,Cpotisch,501223,+45,"Electoral College has voted. Trump is the ""Outgoing"" president. There's a discussion on the 2020 Presidential Election talk page that almost no one replied to, but if you take issue, please talk about it there."
994229088,2020-12-14 18:25:00,SPECIFICO,501178,−26,→‎Promotion of conspiracy theories:  not necessary here
994223784,2020-12-14 17:56:00,LeftiePete,501204,+12,→‎Promotion of conspiracy theories
994223572,2020-12-14 17:55:00,LeftiePete,501192,,→‎Promotion of conspiracy theories: Added information about arguably the most relevant conspiracy theories he has been spreading and promoting in recent times
993981944,2020-12-13 15:11:00,Ivanvector,500045,−62,Reverted 1 edit by Ciaran.london (talk): Propose this change on the talk page.
993981741,2020-12-13 15:09:00,Ciaran.london,500107,+62,"Trump is the Outgoing President, stop reverting!"
993941961,2020-12-13 08:33:00,Mandruss,500045,+1,dummy edit to correct redlink: Presidency of Donald Trump#Opioid epidemic
993941808,2020-12-13 08:31:00,Mandruss,500044,,Reverted to revision 993868511 by Czello (talk): 1. Excessive detail for this overlarge one-page biography of an entire life. 2. Does not summarize Presidency of DonaldTrump#Opioid epidemic per WP:SYNC.
993921105,2020-12-13 05:12:00,Hunan201p,501318,0,"→‎Drug epidemic:  removed unintended capitalization, minor edit"
993920898,2020-12-13 05:10:00,Hunan201p,501318,,→‎Presidency (2017–present):  Added drug epidemic section
993868511,2020-12-12 22:37:00,Czello,500044,−62,Reverted to revision 993814898 by Escape Orbit (talk): I don't think this is a standard part of the infobox
993866304,2020-12-12 22:23:00,Ciaran.london,500106,+62,
993814898,2020-12-12 17:11:00,Escape Orbit,500044,+35,Undid revision 993786057 by Jeromi Mikhael (talk) Changes to direct quotes
993786057,2020-12-12 14:12:00,Jeromi Mikhael,500009,−35,grammar changes
993780940,2020-12-12 13:33:00,Slatersteven,500044,−34,Undid revision 993779652 by DanJWilde (talk)Well as this is the only office he has ever held not sure its true.
993779652,2020-12-12 13:21:00,Asrieltheoracle,500078,+34,Added info to lead
993773889,2020-12-12 12:29:00,Space4Time3Continuum2x,500044,,→‎Israel:  Described as such by whom? Hyperbole not supported by the cited sources
993773539,2020-12-12 12:25:00,Space4Time3Continuum2x,500757,+20,→‎2020 presidential election:  Ce
993772601,2020-12-12 12:17:00,Space4Time3Continuum2x,500737,−389,→‎2020 presidential election:  Dated 5 November
993772082,2020-12-12 12:12:00,Space4Time3Continuum2x,501126,−284,→‎2020 presidential election:  Paywalled and dated 17 November
993706829,2020-12-12 01:43:00,Mandruss,501410,+43,→‎2020 presidential election:  cite cleanup
993703937,2020-12-12 01:23:00,Mandruss,501367,0,cite cleanup
993703286,2020-12-12 01:17:00,Soibangla,501367,,"→‎2020 presidential election:  Three days after it was filed by the Texas attorney general, on December 11 the Supreme Court declined to hear a case supported by Trump and his Republican allies asking for electoral votes in four states to be rejected"
993702101,2020-12-12 01:08:00,Mandruss,500846,+54,→‎2020 presidential election:  cite cleanup
993678656,2020-12-11 22:16:00,Bdushaw,500792,−327,→‎2020 presidential election:  ce; remove duplicated cite
993630929,2020-12-11 16:59:00,Feminist,501119,+276,"→‎Israel:  another source: ""the president’s diplomatic efforts in the Middle East may prove to be the most significant foreign policy achievement of his first term"""
993630390,2020-12-11 16:55:00,Feminist,500843,+437,"→‎Israel:  + brief mention of Abraham Accords, shorter than rejected suggestions from the talk page, to comply with WP:DUE"
993630186,2020-12-11 16:54:00,Space4Time3Continuum2x,500406,+1,→‎2020 presidential election:  Cite cleanup
993616292,2020-12-11 15:24:00,Space4Time3Continuum2x,500405,+24,→‎2020 presidential election:  Add date to second cite
993615575,2020-12-11 15:19:00,Space4Time3Continuum2x,500381,+2,→‎2020 presidential election:  Update
993609331,2020-12-11 14:34:00,Space4Time3Continuum2x,500379,,→‎2020 presidential election:  Replacing numerous sources with current source summarizing all 56 lawsuits + some other . I used the date of the latest update
993607034,2020-12-11 14:18:00,Space4Time3Continuum2x,503116,+2,"→‎2020 presidential election:  Sentence appears to be title of CNBC article, with one small change in wording and quotation marks around ""if"" added by WP editor (https://www.cnbc.com/2020/11/27/trump-says-he-will-leave-white-house-if-electoral-college-votes-for-biden.html)"
993604760,2020-12-11 14:01:00,Space4Time3Continuum2x,503114,−68,→‎2020 presidential election:  Fix title
993602806,2020-12-11 13:46:00,Space4Time3Continuum2x,503182,+59,"→‎2020 presidential election:  RS instead of tweet. ""Claiming"" in this case justified by GSA administrator's counterclaim that the move was her decision alone."
993559399,2020-12-11 06:25:00,Mandruss,503123,−28,Reverted to revision 993530237 by Soibangla (talk): Rv per WP:CATV ;; no mention in the article
993558899,2020-12-11 06:20:00,Vinnylospo,503151,0,→‎External links
993558851,2020-12-11 06:20:00,Vinnylospo,503151,+28,→‎External links
993530237,2020-12-11 02:45:00,Soibangla,503123,,→‎2020 presidential election:  he continued to pursue an aggressive effort to subvert the results of the election
993523159,2020-12-11 01:54:00,Mandruss,500627,+86,→‎2020 presidential election:  cite cleanup
993518048,2020-12-11 01:11:00,Mandruss,500541,−11,"→‎2020 presidential election:  vague and ambiguous, somewhat superfluous, unnecessary"
993497724,2020-12-10 22:43:00,Cpotisch,500552,−36,→‎2020 presidential election
993477771,2020-12-10 20:35:00,Soibangla,500588,+9,→‎2020 presidential election:  After two weeks of resistance
993461314,2020-12-10 18:59:00,Bdushaw,500579,+14,"→‎2020 presidential election:  he -> he or his allies, per citations and Talk"
993355509,2020-12-10 04:34:00,Bdushaw,500565,+357,"→‎2020 presidential election:  revise to give number of lawsuits, related ce's"
993302820,2020-12-09 22:34:00,ONUnicorn,500208,−4,"→‎top: ""has made"" -> ""made"".  Present perfect tense was annoying me; it's not going to stop being true, so changed it to past tense."
